medicineID	medicineName	medicineType	dosageType	drugRoute	company	drug	dosages	activeIngredientUnit	pharmacologicalClasses	category
2005	Eszopiclone 	Sedative	TABLET	ORAL	A-S Medication Solutions	ESZOPICLONE	3;1;2	mg/1		HUMAN PRESCRIPTION DRUG
2006	Eszopiclone 	Sedative	TABLET	ORAL	Unit Dose Services	ESZOPICLONE	1;2;3	mg/1		HUMAN PRESCRIPTION DRUG
2007	Eszopiclone 	Sedative	TABLET	ORAL	Dr. Reddy's Laboratories Limited	ESZOPICLONE	3;2;1	mg/1		HUMAN PRESCRIPTION DRUG
2008	Eszopiclone 	Sedative	TABLET	ORAL	Lake Erie Medical DBA Quality Care Products LLC	ESZOPICLONE	2;3;1	mg/1		HUMAN PRESCRIPTION DRUG
2009	Eszopiclone 	Sedative	TABLET	ORAL	"Golden State Medical Supply, Inc."	ESZOPICLONE	1;2;3	mg/1		HUMAN PRESCRIPTION DRUG
2010	Eszopiclone 	Sedative	TABLET	ORAL	St. Mary's Medical Park Pharmacy	ESZOPICLONE	2;3	mg/1		HUMAN PRESCRIPTION DRUG
2011	ESZOPICLONE 	Sedative	TABLET	ORAL	DIRECT RX	ESZOPICLONE	2	mg/1		HUMAN PRESCRIPTION DRUG
2012	ESZOPICLONE 	Sedative	TABLET	ORAL	Direct_Rx	ESZOPICLONE	1	mg/1		HUMAN PRESCRIPTION DRUG
2013	ESZOPICLONE 	Sedative	TABLET	ORAL	DIRECT RX	ESZOPICLONE	1;3;2	mg/1		HUMAN PRESCRIPTION DRUG
2014	ESZOPICLONE 	Sedative	TABLET	ORAL	DirectRX	ESZOPICLONE	1	mg/1		HUMAN PRESCRIPTION DRUG
2015	Eszopiclone 	Sedative	TABLET	ORAL	Proficient Rx LP	ESZOPICLONE	1;2;3	mg/1		HUMAN PRESCRIPTION DRUG
2016	ESZOPICLONE 	Sedative	TABLET	ORAL	Bryant Ranch Prepack	ESZOPICLONE	2	mg/1		HUMAN PRESCRIPTION DRUG
2017	ESZOPICLONE 	Sedative	TABLET	ORAL	Aurobindo Pharma Limited	ESZOPICLONE	1;2;3	mg/1		HUMAN PRESCRIPTION DRUG
2018	Eszopiclone 	Sedative	TABLET	ORAL	"NuCarePharmaceuticals, Inc."	ESZOPICLONE	3	mg/1		HUMAN PRESCRIPTION DRUG
2019	Eszopiclone 	Sedative	TABLET	ORAL	"Lupin Pharmaceuticals, Inc."	ESZOPICLONE	1;2;3	mg/1		HUMAN PRESCRIPTION DRUG
2020	Eszopiclone 	Sedative	TABLET	ORAL	Glenmark Pharmaceuticals Inc. USA	ESZOPICLONE	1;2	mg/1		HUMAN PRESCRIPTION DRUG
2021	Eszopiclone 	Sedative	TABLET	OROPHARYNGEAL	Glenmark Pharmaceuticals Inc. USA	ESZOPICLONE	3	mg/1		HUMAN PRESCRIPTION DRUG
2022	Eszopiclone 	Sedative	TABLET	ORAL	Preferred Pharmaceuticals Inc.	ESZOPICLONE	1;2;3	mg/1		HUMAN PRESCRIPTION DRUG
2023	ESZOPICLONE 	Sedative	TABLET	ORAL	"Preferred Pharmaceuticals, Inc."	ESZOPICLONE	1	mg/1		HUMAN PRESCRIPTION DRUG
2024	ESZOPICLONE 	Sedative	TABLET	ORAL	REMEDYREPACK INC.	ESZOPICLONE	2	mg/1		HUMAN PRESCRIPTION DRUG
2025	ESZOPICLONE 	Sedative	TABLET	ORAL	Proficient Rx LP	ESZOPICLONE	3;1	mg/1		HUMAN PRESCRIPTION DRUG
2026	ESZOPICLONE 	Sedative	TABLET	ORAL	Bryant Ranch Prepack	ESZOPICLONE	1;2;3	mg/1		HUMAN PRESCRIPTION DRUG
2027	Eszopiclone 	Sedative	TABLET	ORAL	"Aphena Pharma Solutions - Tennessee, LLC"	ESZOPICLONE	3	mg/1		HUMAN PRESCRIPTION DRUG
2028	ESZOPICLONE 	Sedative	TABLET	ORAL	DIRECT RX	ESZOPICLONE	1	mg/1		HUMAN PRESCRIPTION DRUG
2029	ESZOPICLONE 	Sedative	TABLET	ORAL	"PD-Rx Pharmaceuticals, Inc."	ESZOPICLONE	3	mg/1		HUMAN PRESCRIPTION DRUG
2030	Eszopiclone 	Sedative	TABLET	ORAL	"Asclemed USA, Inc."	ESZOPICLONE	2;1;3	mg/1		HUMAN PRESCRIPTION DRUG
2031	EX-LAX MAXIMUM STRENGTH STIMULANT LAXATIVE	Laxative	PILL	ORAL	GlaxoSmithKline Consumer Healthcare Holdings (US) LLC	SENNOSIDES	25	mg/1		HUMAN PRESCRIPTION DRUG
2032	EX-LAX REGULAR STRENGTH CHOCOLATED STIMULANT LAXATIVE	Laxative	TABLET	ORAL	GlaxoSmithKline Consumer Healthcare Holdings (US) LLC	SENNOSIDES	15	mg/1		HUMAN PRESCRIPTION DRUG
2033	EX-LAX REGULAR STRENGTH STIMULANT LAXATIVE	Laxative	TABLET	ORAL	GlaxoSmithKline Consumer Healthcare Holdings (US) LLC	SENNOSIDES	15	mg/1		HUMAN PRESCRIPTION DRUG
2034	Extended Phenytoin Sodium 	Anticonvulsant	CAPSULE	ORAL	Major Pharmaceuticals	PHENYTOIN SODIUM	100	mg/1	"Anti-epileptic Agent [EPC],Decreased Central Nervous System Disorganized Electrical Activity [PE],Cytochrome P450 1A2 Inducers [MoA],Cytochrome P450 2B6 Inducers [MoA],Cytochrome P450 2C8 Inducers [MoA],Cytochrome P450 2C19 Inducers [MoA],Cytochrome P450 2D6 Inducers [MoA],Cytochrome P450 3A Inducers [MoA],Cytochrome P450 2C9 Inducers [MoA]"	HUMAN PRESCRIPTION DRUG
2035	Extended Phenytoin Sodium 	Anticonvulsant	CAPSULE	ORAL	AvKARE	PHENYTOIN SODIUM	100	mg/1	"Anti-epileptic Agent [EPC],Decreased Central Nervous System Disorganized Electrical Activity [PE],Cytochrome P450 1A2 Inducers [MoA],Cytochrome P450 2B6 Inducers [MoA],Cytochrome P450 2C8 Inducers [MoA],Cytochrome P450 2C19 Inducers [MoA],Cytochrome P450 2D6 Inducers [MoA],Cytochrome P450 3A Inducers [MoA],Cytochrome P450 2C9 Inducers [MoA]"	HUMAN PRESCRIPTION DRUG
2036	Extended Phenytoin Sodium 	Anticonvulsant	CAPSULE	ORAL	"PD-Rx Pharmaceuticals, Inc."	PHENYTOIN SODIUM	100	mg/1	"Anti-epileptic Agent [EPC],Decreased Central Nervous System Disorganized Electrical Activity [PE],Cytochrome P450 1A2 Inducers [MoA],Cytochrome P450 2B6 Inducers [MoA],Cytochrome P450 2C8 Inducers [MoA],Cytochrome P450 2C19 Inducers [MoA],Cytochrome P450 2D6 Inducers [MoA],Cytochrome P450 3A Inducers [MoA],Cytochrome P450 2C9 Inducers [MoA]"	HUMAN PRESCRIPTION DRUG
2037	Extended Phenytoin Sodium 	Anticonvulsant	CAPSULE	ORAL	A-S Medication Solutions	PHENYTOIN SODIUM	100	mg/1	"Anti-epileptic Agent [EPC],Decreased Central Nervous System Disorganized Electrical Activity [PE],Cytochrome P450 1A2 Inducers [MoA],Cytochrome P450 2B6 Inducers [MoA],Cytochrome P450 2C8 Inducers [MoA],Cytochrome P450 2C19 Inducers [MoA],Cytochrome P450 2D6 Inducers [MoA],Cytochrome P450 3A Inducers [MoA],Cytochrome P450 2C9 Inducers [MoA]"	HUMAN PRESCRIPTION DRUG
2038	Extended Phenytoin Sodium 	Anticonvulsant	CAPSULE	ORAL	Cardinal Health	PHENYTOIN SODIUM	100	mg/1	"Anti-epileptic Agent [EPC],Decreased Central Nervous System Disorganized Electrical Activity [PE],Cytochrome P450 1A2 Inducers [MoA],Cytochrome P450 2B6 Inducers [MoA],Cytochrome P450 2C8 Inducers [MoA],Cytochrome P450 2C19 Inducers [MoA],Cytochrome P450 2D6 Inducers [MoA],Cytochrome P450 3A Inducers [MoA],Cytochrome P450 2C9 Inducers [MoA]"	HUMAN PRESCRIPTION DRUG
2039	EXTENDED PHENYTOIN SODIUM 	Anticonvulsant	CAPSULE	ORAL	Wockhardt USA LLC.	PHENYTOIN SODIUM	100	mg/1	"Anti-epileptic Agent [EPC],Decreased Central Nervous System Disorganized Electrical Activity [PE],Cytochrome P450 1A2 Inducers [MoA],Cytochrome P450 2B6 Inducers [MoA],Cytochrome P450 2C8 Inducers [MoA],Cytochrome P450 2C19 Inducers [MoA],Cytochrome P450 2D6 Inducers [MoA],Cytochrome P450 3A Inducers [MoA],Cytochrome P450 2C9 Inducers [MoA]"	HUMAN PRESCRIPTION DRUG
2040	Extended Phenytoin Sodium 	Anticonvulsant	CAPSULE	ORAL	Amneal Pharmaceuticals LLC	PHENYTOIN SODIUM	100	mg/1	"Anti-epileptic Agent [EPC],Decreased Central Nervous System Disorganized Electrical Activity [PE],Cytochrome P450 1A2 Inducers [MoA],Cytochrome P450 2B6 Inducers [MoA],Cytochrome P450 2C8 Inducers [MoA],Cytochrome P450 2C19 Inducers [MoA],Cytochrome P450 2D6 Inducers [MoA],Cytochrome P450 3A Inducers [MoA],Cytochrome P450 2C9 Inducers [MoA]"	HUMAN PRESCRIPTION DRUG
2041	Extended Phenytoin Sodium 	Anticonvulsant	CAPSULE	ORAL	Aurobindo Pharma Limited	PHENYTOIN SODIUM	100	mg/1	"Anti-epileptic Agent [EPC],Decreased Central Nervous System Disorganized Electrical Activity [PE],Cytochrome P450 1A2 Inducers [MoA],Cytochrome P450 2B6 Inducers [MoA],Cytochrome P450 2C8 Inducers [MoA],Cytochrome P450 2C19 Inducers [MoA],Cytochrome P450 2D6 Inducers [MoA],Cytochrome P450 3A Inducers [MoA],Cytochrome P450 2C9 Inducers [MoA]"	HUMAN PRESCRIPTION DRUG
2042	Extended Phenytoin Sodium 	Anticonvulsant	CAPSULE	ORAL	American Health Packaging	PHENYTOIN SODIUM	100	mg/1	"Anti-epileptic Agent [EPC],Decreased Central Nervous System Disorganized Electrical Activity [PE],Cytochrome P450 1A2 Inducers [MoA],Cytochrome P450 2B6 Inducers [MoA],Cytochrome P450 2C8 Inducers [MoA],Cytochrome P450 2C19 Inducers [MoA],Cytochrome P450 2D6 Inducers [MoA],Cytochrome P450 3A Inducers [MoA],Cytochrome P450 2C9 Inducers [MoA]"	HUMAN PRESCRIPTION DRUG
2043	Extended Phenytoin Sodium 	Anticonvulsant	CAPSULE	ORAL	"Lupin Pharmaceuticals, Inc."	PHENYTOIN SODIUM	100	mg/1	"Anti-epileptic Agent [EPC],Decreased Central Nervous System Disorganized Electrical Activity [PE],Cytochrome P450 1A2 Inducers [MoA],Cytochrome P450 2B6 Inducers [MoA],Cytochrome P450 2C8 Inducers [MoA],Cytochrome P450 2C19 Inducers [MoA],Cytochrome P450 2D6 Inducers [MoA],Cytochrome P450 3A Inducers [MoA],Cytochrome P450 2C9 Inducers [MoA]"	HUMAN PRESCRIPTION DRUG
2044	Extended Phenytoin Sodium 	Anticonvulsant	CAPSULE	ORAL	REMEDYREPACK INC.	PHENYTOIN SODIUM	100	mg/1	"Anti-epileptic Agent [EPC],Decreased Central Nervous System Disorganized Electrical Activity [PE],Cytochrome P450 1A2 Inducers [MoA],Cytochrome P450 2B6 Inducers [MoA],Cytochrome P450 2C8 Inducers [MoA],Cytochrome P450 2C19 Inducers [MoA],Cytochrome P450 2D6 Inducers [MoA],Cytochrome P450 3A Inducers [MoA],Cytochrome P450 2C9 Inducers [MoA]"	HUMAN PRESCRIPTION DRUG
2045	Extended Phenytoin Sodium 	Anticonvulsant	CAPSULE	ORAL	Bryant Ranch Prepack	PHENYTOIN SODIUM	100	mg/1	"Anti-epileptic Agent [EPC],Decreased Central Nervous System Disorganized Electrical Activity [PE],Cytochrome P450 1A2 Inducers [MoA],Cytochrome P450 2B6 Inducers [MoA],Cytochrome P450 2C8 Inducers [MoA],Cytochrome P450 2C19 Inducers [MoA],Cytochrome P450 2D6 Inducers [MoA],Cytochrome P450 3A Inducers [MoA],Cytochrome P450 2C9 Inducers [MoA]"	HUMAN PRESCRIPTION DRUG
2046	Extended Phenytoin Sodium 	Anticonvulsant	CAPSULE	ORAL	"Aphena Pharma Solutions - Tennessee, LLC"	PHENYTOIN SODIUM	100	mg/1	"Anti-epileptic Agent [EPC],Decreased Central Nervous System Disorganized Electrical Activity [PE],Cytochrome P450 1A2 Inducers [MoA],Cytochrome P450 2B6 Inducers [MoA],Cytochrome P450 2C8 Inducers [MoA],Cytochrome P450 2C19 Inducers [MoA],Cytochrome P450 2D6 Inducers [MoA],Cytochrome P450 3A Inducers [MoA],Cytochrome P450 2C9 Inducers [MoA]"	HUMAN PRESCRIPTION DRUG
2047	ezetimibe and simvastatin 	Statin	TABLET	ORAL	NORTHSTAR RX LLC	EZETIMIBE; SIMVASTATIN	10;20;40;80	mg/1	"Decreased Cholesterol Absorption [PE],Dietary Cholesterol Absorption Inhibitor [EPC],HMG-CoA Reductase Inhibitor [EPC],Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]"	HUMAN PRESCRIPTION DRUG
2048	Ezetimibe and Simvastatin 	Statin	TABLET	ORAL	Dr.Reddys Laboratories Inc	EZETIMIBE; SIMVASTATIN	10;40;20;80	mg/1	"Decreased Cholesterol Absorption [PE],Dietary Cholesterol Absorption Inhibitor [EPC],HMG-CoA Reductase Inhibitor [EPC],Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]"	HUMAN PRESCRIPTION DRUG
2049	Ezetimibe and Simvastatin 	Statin	TABLET	ORAL	"Actavis Pharma, Inc."	EZETIMIBE; SIMVASTATIN	10;20;40;80	mg/1	"Decreased Cholesterol Absorption [PE],Dietary Cholesterol Absorption Inhibitor [EPC],HMG-CoA Reductase Inhibitor [EPC],Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]"	HUMAN PRESCRIPTION DRUG
2050	Ezetimibe and Simvastatin 	Statin	TABLET	ORAL	A-S Medication Solutions	EZETIMIBE; SIMVASTATIN	10;40	mg/1	"Decreased Cholesterol Absorption [PE],Dietary Cholesterol Absorption Inhibitor [EPC],HMG-CoA Reductase Inhibitor [EPC],Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]"	HUMAN PRESCRIPTION DRUG
2051	Ezetimibe and Simvastatin 	Statin	TABLET	ORAL	Golden State Medical Supply	EZETIMIBE; SIMVASTATIN	10;20;40;80	mg/1	"Decreased Cholesterol Absorption [PE],Dietary Cholesterol Absorption Inhibitor [EPC],HMG-CoA Reductase Inhibitor [EPC],Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]"	HUMAN PRESCRIPTION DRUG
2052	Ezetimibe and Simvastatin 	Statin	TABLET	ORAL	"Golden State Medical Supply, Inc."	EZETIMIBE; SIMVASTATIN	10;20;40;80	mg/1	"Decreased Cholesterol Absorption [PE],Dietary Cholesterol Absorption Inhibitor [EPC],HMG-CoA Reductase Inhibitor [EPC],Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]"	HUMAN PRESCRIPTION DRUG
2053	Ezetimibe and Simvastatin 	Statin	TABLET	ORAL	"ANI Pharmaceuticals, Inc."	EZETIMIBE; SIMVASTATIN	10;20;40;80	mg/1	"Decreased Cholesterol Absorption [PE],Dietary Cholesterol Absorption Inhibitor [EPC],HMG-CoA Reductase Inhibitor [EPC],Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]"	HUMAN PRESCRIPTION DRUG
2054	Ezetimibe and Simvastatin 	Statin	TABLET	ORAL	"Ascend Laboratories, LLC"	EZETIMIBE; SIMVASTATIN	10;20;40;80	mg/1	"Decreased Cholesterol Absorption [PE],Dietary Cholesterol Absorption Inhibitor [EPC],HMG-CoA Reductase Inhibitor [EPC],Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]"	HUMAN PRESCRIPTION DRUG
2055	ezetimibe and simvastatin 	Statin	TABLET	ORAL	"Glenmark Pharmaceuticals Inc., USA"	EZETIMIBE; SIMVASTATIN	10;20;40;80	mg/1	"Decreased Cholesterol Absorption [PE],Dietary Cholesterol Absorption Inhibitor [EPC],HMG-CoA Reductase Inhibitor [EPC],Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]"	HUMAN PRESCRIPTION DRUG
2056	Ezetimibe and Simvastatin 	Statin	TABLET	ORAL	Amneal Pharmaceuticals NY LLC	EZETIMIBE; SIMVASTATIN	10;20;40;80	mg/1	"Decreased Cholesterol Absorption [PE],Dietary Cholesterol Absorption Inhibitor [EPC],HMG-CoA Reductase Inhibitor [EPC],Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]"	HUMAN PRESCRIPTION DRUG
2057	Ezetimibe and Simvastatin 	Statin	TABLET	ORAL	REMEDYREPACK INC.	EZETIMIBE; SIMVASTATIN	10;40	mg/1	"Decreased Cholesterol Absorption [PE],Dietary Cholesterol Absorption Inhibitor [EPC],HMG-CoA Reductase Inhibitor [EPC],Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]"	HUMAN OTC DRUG
2058	family wellness laxative 	Laxative	POWDER	ORAL	Family Dollar Services Inc	POLYETHYLENE GLYCOL 3350	17	g/17g		HUMAN PRESCRIPTION DRUG
2059	FENTANYL 	Analgesic	PATCH	TRANSDERMAL	Mylan Pharmaceuticals Inc.	FENTANYL	12;25;50;75;100;37.5;62.5;87.5	ug/h	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
2060	Fentanyl 	Analgesic	PATCH	TRANSDERMAL	Lake Erie Medical DBA Quality Care Products LLC	FENTANYL	12	ug/h	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
2061	FENTANYL 	Analgesic	PATCH	TRANSDERMAL	"Quality Care Products, LLC"	FENTANYL	25;50;12;75	ug/h	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
2062	FENTANYL 	Analgesic	PATCH	TRANSDERMAL	Apotex Corp.	FENTANYL	25;50;75;100;12;37.5;62.5;87.5	ug/h	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
2063	FENTANYL 	Analgesic	PATCH	TRANSDERMAL	DirectRX	FENTANYL	25;50	ug/h	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
2064	FENTANYL 	Analgesic	PATCH	TRANSDERMAL	Bryant Ranch Prepack	FENTANYL	100;25;75;12;50	ug/h	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
2065	Fentanyl Citrate 	Analgesic	LOZENGE	ORAL; TRANSMUCOSAL	"Teva Pharmaceuticals USA, Inc."	FENTANYL CITRATE	200;400;600;800;1200;1600	ug/1	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
2066	FENTANYL CITRATE 	Analgesic	LOZENGE	TRANSMUCOSAL	SpecGx LLC	FENTANYL CITRATE	200;400;600;800;1200;1600	ug/1	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
2067	Fentanyl Citrate 	Analgesic	INJECTION	INTRAMUSCULAR; INTRAVENOUS	"Hospira, Inc."	FENTANYL CITRATE	50	ug/mL	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
2068	Fentanyl Citrate 	Analgesic	INJECTION	INTRAMUSCULAR; INTRAVENOUS	Hikma Pharmaceuticals USA Inc.	FENTANYL CITRATE	50	ug/mL	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
2069	Fentanyl Citrate 	Analgesic	INJECTION	INTRAVENOUS	Hikma Pharmaceuticals USA Inc.	FENTANYL CITRATE	50	ug/mL	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
2070	Fentanyl Citrate 	Analgesic	INJECTION	INTRAMUSCULAR; INTRAVENOUS	Hikma Pharmaceuticals USA Inc.	FENTANYL CITRATE	50	ug/mL	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
2071	Fentanyl Citrate 	Analgesic	INJECTION	INTRAVENOUS	Hikma Pharmaceuticals USA Inc.	FENTANYL CITRATE	50	ug/mL	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
2072	FENTANYL CITRATE 	Analgesic	INJECTION	INTRAMUSCULAR; INTRAVENOUS	"Akorn, Inc."	FENTANYL CITRATE	50	ug/mL	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
2073	FENTANYL CITRATE 	Analgesic	INJECTION	INTRAVENOUS	"Akorn, Inc."	FENTANYL CITRATE	50	ug/mL	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
2074	Fentanyl Citrate 	Analgesic	INJECTION	INTRAMUSCULAR; INTRAVENOUS	"Fresenius Kabi USA, LLC"	FENTANYL CITRATE	0.05	mg/mL	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
2075	Fentanyl Citrate 	Analgesic	INJECTION	INTRAMUSCULAR; INTRAVENOUS	"Civica, Inc."	FENTANYL CITRATE	50	ug/mL	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
2076	Fentanyl Citrate 	Analgesic	INJECTION	INTRAVENOUS	"Civica, Inc."	FENTANYL CITRATE	50	ug/mL	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
2077	FENTANYL TRANSDERMAL 	Analgesic	PATCH	TRANSDERMAL	SpecGx LLC	FENTANYL	100;12.5;25;37.5;50;62.5;75	ug/h	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
2078	FERROUS SULFATE 	Supplement	TABLET	ORAL	"Richmond Pharmaceuticals, Inc."	FERROUS SULFATE	325	mg/1		HUMAN PRESCRIPTION DRUG
2079	Ferrous Sulfate 	Supplement	TABLET	ORAL	Richmond Pharmaceuticals Inc.	FERROUS SULFATE	325	mg/1		HUMAN PRESCRIPTION DRUG
2080	Ferrous Sulfate 	Supplement	TABLET	ORAL	"RedPharm Drug, Inc."	FERROUS SULFATE	325	mg/1		HUMAN PRESCRIPTION DRUG
2081	Ferrous Sulfate 	Supplement	TABLET	ORAL	Healthlife of USA	FERROUS SULFATE	65	mg/1		HUMAN PRESCRIPTION DRUG
2082	Ferrous Sulfate 	Supplement	TABLET	ORAL	Central Texas Community Health Centers	FERROUS SULFATE	325	mg/1		HUMAN PRESCRIPTION DRUG
2083	fiber laxative 	Laxative	TABLET	ORAL	Kroger Company	CALCIUM POLYCARBOPHIL	625	mg/1		HUMAN PRESCRIPTION DRUG
2084	Fiber Laxative 	Laxative	TABLET	ORAL	Supervalu Inc.	CALCIUM POLYCARBOPHIL	625	mg/1		HUMAN PRESCRIPTION DRUG
2085	Fiber Laxative 	Laxative	TABLET	ORAL	"Magno-Humphries, Inc."	CALCIUM POLYCARBOPHIL	625	mg/1		HUMAN PRESCRIPTION DRUG
2086	Fiber Laxative 	Laxative	TABLET	ORAL	Geri-Care Pharmaceutical Corp	CALCIUM POLYCARBOPHIL	625	mg/1		HUMAN PRESCRIPTION DRUG
2087	fiber laxative 	Laxative	CAPSULE	ORAL	Raritan Pharmaceuticals Inc	PSYLLIUM HUSK	0.52	g/1		HUMAN PRESCRIPTION DRUG
2088	Fiber Laxative 	Laxative	TABLET	ORAL	Cardinal Health	CALCIUM POLYCARBOPHIL	625	mg/1		HUMAN PRESCRIPTION DRUG
2089	Fiorinal with Codeine 	Analgesic	CAPSULE	ORAL	"Allergan, Inc."	BUTALBITAL; ASPIRIN; CAFFEINE; CODEINE PHOSPHATE	50;325;40;30	mg/1	"Barbiturates [CS],Barbiturate [EPC],Platelet Aggregation Inhibitor [EPC],Decreased Platelet Aggregation [PE],Cyclooxygenase Inhibitors [MoA],Decreased Prostaglandin Production [PE],Anti-Inflammatory Agents, Non-Steroidal [CS],Nonsteroidal Anti-inflammatory Drug [EPC],Central Nervous System Stimulant [EPC],Methylxanthine [EPC],Xanthines [CS],Central Nervous System Stimulation [PE],Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
2090	First Aid Only Ibuprofen 	Analgesic	TABLET	ORAL	Acme United Corporation	IBUPROFEN	200	mg/1		HUMAN PRESCRIPTION DRUG
2091	Fludeoxyglucose F 18 	Intravenous Fluid	INJECTION	INTRAVENOUS	"Spectron mrc, LLC"	FLUDEOXYGLUCOSE F-18	500	mCi/mL	"Radioactive Diagnostic Agent [EPC],Radiopharmaceutical Activity [MoA]"	HUMAN PRESCRIPTION DRUG
2092	Fludeoxyglucose F 18 	Intravenous Fluid	INJECTION	INTRAVENOUS	Centre for Probe Development and Commercialization	FLUDEOXYGLUCOSE F-18	300	mCi/mL	"Radioactive Diagnostic Agent [EPC],Radiopharmaceutical Activity [MoA]"	HUMAN PRESCRIPTION DRUG
2093	FLUDEOXYGLUCOSE F 18 	Intravenous Fluid	INJECTION	INTRAVENOUS	UIHC-P E T IMAGING CENTER	FLUDEOXYGLUCOSE F-18	300	mCi/mL	"Radioactive Diagnostic Agent [EPC],Radiopharmaceutical Activity [MoA]"	HUMAN PRESCRIPTION DRUG
2094	Fludeoxyglucose F 18 	Intravenous Fluid	INJECTION	INTRAVENOUS	NCM-USA Bronx LLC	FLUDEOXYGLUCOSE F-18	300	mCi/mL	"Radioactive Diagnostic Agent [EPC],Radiopharmaceutical Activity [MoA]"	HUMAN PRESCRIPTION DRUG
2095	Fludeoxyglucose F 18 	Intravenous Fluid	INJECTION	INTRAVENOUS	Kettering Medical Center	FLUDEOXYGLUCOSE F-18	40	mCi/mL	"Radioactive Diagnostic Agent [EPC],Radiopharmaceutical Activity [MoA]"	HUMAN PRESCRIPTION DRUG
2096	Fludeoxyglucose F 18 	Intravenous Fluid	INJECTION	INTRAVENOUS	"PETNET Solutions, Inc."	FLUDEOXYGLUCOSE F-18	200	mCi/mL	"Radioactive Diagnostic Agent [EPC],Radiopharmaceutical Activity [MoA]"	HUMAN PRESCRIPTION DRUG
2097	Fludeoxyglucose F 18 	Intravenous Fluid	INJECTION	INTRAVENOUS	SOFIE Co.	FLUDEOXYGLUCOSE F-18	300	mCi/mL	"Radioactive Diagnostic Agent [EPC],Radiopharmaceutical Activity [MoA]"	HUMAN PRESCRIPTION DRUG
2098	Fludeoxyglucose F 18 	Intravenous Fluid	INJECTION	INTRAVENOUS	Mayo Clinic	FLUDEOXYGLUCOSE F-18	240	mCi/mL	"Radioactive Diagnostic Agent [EPC],Radiopharmaceutical Activity [MoA]"	HUMAN PRESCRIPTION DRUG
2099	Fludeoxyglucose F 18 	Intravenous Fluid	INJECTION	INTRAVENOUS	"JUBILANT DRAX IMAGE RADIOPHARMACIES, INC. DBA JUBILANT RADIOPHARMA"	FLUDEOXYGLUCOSE F-18	300	mCi/mL	"Radioactive Diagnostic Agent [EPC],Radiopharmaceutical Activity [MoA]"	HUMAN PRESCRIPTION DRUG
2100	Fludeoxyglucose F 18 	Intravenous Fluid	INJECTION	INTRAVENOUS	The University of Utah DBA Cyclotron Radiochemistry Lab / Huntsman Cancer Institute	FLUDEOXYGLUCOSE F-18	300	mCi/mL	"Radioactive Diagnostic Agent [EPC],Radiopharmaceutical Activity [MoA]"	HUMAN PRESCRIPTION DRUG
2101	Fludeoxyglucose F 18 	Intravenous Fluid	INJECTION	INTRAVENOUS	Northland Nuclear Medicine	FLUDEOXYGLUCOSE F-18	0.5	Ci/mL	"Radioactive Diagnostic Agent [EPC],Radiopharmaceutical Activity [MoA]"	HUMAN PRESCRIPTION DRUG
